objectClass;schemaIDGUID;classSchemaCN
applicationSettings;f780acc1-56f0-11d1-a9c6-0000f80367c1;Application-Settings
builtinDomain;bf967a81-0de6-11d0-a285-00aa003049e2;Builtin-Domain
categoryRegistration;7d6c0e9d-7e20-11d0-afd6-00c04fd930c9;Category-Registration
classStore;bf967a84-0de6-11d0-a285-00aa003049e2;Class-Store
computer;bf967a86-0de6-11d0-a285-00aa003049e2;Computer
connectionPoint;5cb41ecf-0e4c-11d0-a286-00aa003049e2;Connection-Point
contact;5cb41ed0-0e4c-11d0-a286-00aa003049e2;Contact
container;bf967a8b-0de6-11d0-a285-00aa003049e2;Container
dfsConfiguration;8447f9f2-1027-11d0-a05f-00aa006c33ed;Dfs-Configuration
dnsNode;e0fa1e8c-9b45-11d0-afdd-00c04fd930c9;Dns-Node
dnsZone;e0fa1e8b-9b45-11d0-afdd-00c04fd930c9;Dns-Zone
dnsZoneScope;696f8a61-2d3f-40ce-a4b3-e275dfcc49c5;Dns-Zone-Scope
dnsZoneScopeContainer;f2699093-f25a-4220-9deb-03df4cc4a9c5;Dns-Zone-Scope-Container
domain;19195a5a-6da0-11d0-afd3-00c04fd930c9;Domain
domainDNS;19195a5b-6da0-11d0-afd3-00c04fd930c9;Domain-DNS
domainPolicy;bf967a99-0de6-11d0-a285-00aa003049e2;Domain-Policy
fileLinkTracking;dd712229-10e4-11d0-a05f-00aa006c33ed;File-Link-Tracking
foreignSecurityPrincipal;89e31c12-8530-11d0-afda-00c04fd930c9;Foreign-Security-Principal
fTDfs;8447f9f3-1027-11d0-a05f-00aa006c33ed;FT-Dfs
group;bf967a9c-0de6-11d0-a285-00aa003049e2;Group
groupPolicyContainer;f30e3bc2-9ff0-11d1-b603-0000f80367c1;Group-Policy-Container
infrastructureUpdate;2df90d89-009f-11d2-aa4c-00c04fd7d83a;Infrastructure-Update
intellimirrorSCP;07383085-91df-11d1-aebc-0000f80367c1;Intellimirror-SCP
ipsecBase;b40ff825-427a-11d1-a9c2-0000f80367c1;Ipsec-Base
ipsecNegotiationPolicy;b40ff827-427a-11d1-a9c2-0000f80367c1;Ipsec-Negotiation-Policy
leaf;bf967a9e-0de6-11d0-a285-00aa003049e2;Leaf
linkTrackObjectMoveTable;ddac0cf5-af8f-11d0-afeb-00c04fd930c9;Link-Track-Object-Move-Table
linkTrackOMTEntry;ddac0cf7-af8f-11d0-afeb-00c04fd930c9;Link-Track-OMT-Entry
lostAndFound;52ab8671-5709-11d1-a9c6-0000f80367c1;Lost-And-Found
ms-net-ieee-80211-GroupPolicy;1cb81863-b822-4379-9ea2-5ff7bdc6386d;ms-net-ieee-80211-GroupPolicy
ms-srvShareMapping;c356f65b-5540-4d85-9aef-3a7ecae7a878;ms-SrvShareMapping
msDFSR-Connection;e58f972e-64b5-46ef-8d8b-bbc3e1897eab;ms-DFSR-Connection
msDFSR-Content;64759b35-d3a1-42e4-b5f1-a3de162109b3;ms-DFSR-Content
msDFSR-ContentSet;4937f40d-a6dc-4d48-97ca-06e5fbfd3f16;ms-DFSR-ContentSet
msDFSR-GlobalSettings;7b35dbad-b3ec-486a-aad4-2fec9d6ea6f6;ms-DFSR-GlobalSettings
msDFSR-LocalSettings;fa85c591-197f-477e-83bd-ea5a43df2239;ms-DFSR-LocalSettings
msDFSR-Member;4229c897-c211-437c-a5ae-dbf705b696e5;ms-DFSR-Member
msDFSR-ReplicationGroup;1c332fe0-0c2a-4f32-afca-23c5e45a9e77;ms-DFSR-ReplicationGroup
msDFSR-Subscriber;e11505d7-92c4-43e7-bf5c-295832ffc896;ms-DFSR-Subscriber
msDFSR-Subscription;67212414-7bcc-4609-87e0-088dad8abdee;ms-DFSR-Subscription
msDFSR-Topology;04828aa9-6e42-4e80-b962-e2fe00754d17;ms-DFSR-Topology
msDS-DeviceContainer;7c9e8c58-901b-4ea8-b6ec-4eb9e9fc0e11;ms-DS-Device-Container
msDS-GroupManagedServiceAccount;7b8b558a-93a5-4af7-adca-c017e67f1057;ms-DS-Group-Managed-Service-Account
msDS-ManagedServiceAccount;ce206244-5827-4a86-ba1c-1c0c386c1b64;ms-DS-Managed-Service-Account
msExchDynamicDistributionList;018849b0-a981-11d2-a9ff-00c04f8eedd8;ms-Exch-Dynamic-Distribution-List
msExchSystemObjectsContainer;0bffa04c-7d8e-44cd-968a-b2cac11d17e1;ms-Exch-System-Objects-Container
msieee80211-Policy;7b9a2d92-b7eb-4382-9772-c3e0f9baaf94;ms-ieee-80211-Policy
msImaging-PSPs;a0ed2ac1-970c-4777-848e-ec63a0ec44fc;ms-Imaging-PSPs
mSMQConfiguration;9a0dc344-c100-11d1-bbc5-0080c76670c0;MSMQ-Configuration
mSMQQueue;9a0dc343-c100-11d1-bbc5-0080c76670c0;MSMQ-Queue
mSSMSManagementPoint;d92f3bd1-e96a-4d0f-8199-daef4d66328a;MS-SMS-Management-Point
mSSMSRoamingBoundaryRange;f5f05029-a1cc-4083-9534-6a45d80b7e0b;MS-SMS-Roaming-Boundary-Range
mSSMSSite;b409d5ef-cf6a-48a8-8753-7ce01f74fbd2;MS-SMS-Site
msWMI-Som;ab857078-0142-4406-945b-34c9b6b13372;ms-WMI-Som
nTFRSReplicaSet;5245803a-ca6a-11d0-afff-0000f80367c1;NTFRS-Replica-Set
nTFRSSettings;f780acc2-56f0-11d1-a9c6-0000f80367c1;NTFRS-Settings
organizationalPerson;bf967aa4-0de6-11d0-a285-00aa003049e2;Organizational-Person
organizationalUnit;bf967aa5-0de6-11d0-a285-00aa003049e2;Organizational-Unit
packageRegistration;bf967aa6-0de6-11d0-a285-00aa003049e2;Package-Registration
person;bf967aa7-0de6-11d0-a285-00aa003049e2;Person
printQueue;bf967aa8-0de6-11d0-a285-00aa003049e2;Print-Queue
rIDManager;6617188d-8f3c-11d0-afda-00c04fd930c9;RID-Manager
rIDSet;7bfdcb89-4807-11d1-a9c3-0000f80367c1;RID-Set
rpcContainer;80212842-4bdc-11d1-a9c4-0000f80367c1;Rpc-Container
rRASAdministrationConnectionPoint;2a39c5be-8960-11d1-aebc-0000f80367c1;RRAS-Administration-Connection-Point
samServer;bf967aad-0de6-11d0-a285-00aa003049e2;Sam-Server
securityObject;bf967aaf-0de6-11d0-a285-00aa003049e2;Security-Object
serviceAdministrationPoint;b7b13123-b82e-11d0-afee-0000f80367c1;Service-Administration-Point
serviceClass;bf967ab1-0de6-11d0-a285-00aa003049e2;Service-Class
serviceConnectionPoint;28630ec1-41d5-11d1-a9c1-0000f80367c1;Service-Connection-Point
serviceInstance;bf967ab2-0de6-11d0-a285-00aa003049e2;Service-Instance
top;bf967ab7-0de6-11d0-a285-00aa003049e2;Top
trustedDomain;bf967ab8-0de6-11d0-a285-00aa003049e2;Trusted-Domain
user;bf967aba-0de6-11d0-a285-00aa003049e2;User
volume;bf967abb-0de6-11d0-a285-00aa003049e2;Volume
